Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
"U3,U4,U2,U1",AD7779ACPZ,4,
U7,ADR4525BRZ,1,
"U14,U15,U16",ADUM141E1BRWZ,3,
U8,CB3LV-3I-8M1920,1,
U13,47352-1001,1,
"C57,C56,C55,C53,C51,C49,C45,C43,C41,C40,C36,C35,C34,C32,C30,C3,C28,C24,C20,C99,C98,C97,C95,C94,C93,C91,C9,C83,C82,C78,C77,C76,C74,C72,C70,C7,C66,C64,C62,C61,C102,C103,C105,C106,C107,C108,C11,C111,C112,C114,C116,C117,C118,C119,C120,C121,C13,C14,C15,C19,C22,C101,C89,C1",GRM155R71E104KE14J,64,
"C113,C115,C92",GRM188R61A106KE69D,3,
"D2,D1",MBR0520LT3G,2,
"C54,C10,C12,C16,C21,C23,C25,C29,C31,C33,C37,C4,C42,C44,C46,C50,C52,C58,C63,C65,C67,C71,C73,C75,C79,C8,C84,C2",CL05A105KQ5NNNC,28,
"C87,C86,C88,C100,C104,C109,C110,C85",CL10A225KQ8NNNC,8,
C122,CL10A475KP8NNNC,1,
"C47,C5,C59,C80,C96,C68,C17,C26,C38",CL10B104KO8NNNC,9,
"C18,C81,C69,C60,C6,C48,C39,C27",CL10B105KO8NNNC,8,
C90,CL21A226MQQNNNE,1,
U11,LSM6DS3TR,1,
U9,STM32F765ZIT6,1,
"U10,U6,U5",LP5907MFX-3.3/NOPB,3,
U12,SN6505BDBVT,1,
T1,750315371,1,
Y2,7B-16.000MEEQ-T,1,
Y1,FC-135,1,
J37,105017-0001,1,
